Protocol,Scenario,AvgLatency_ms,P95Latency_ms,P99Latency_ms
rest,point_to_point_latency,                            3.44,4.08,                            4.47
grpc,point_to_point_latency,                            2.37,2.79,                            2.98
mqtt,point_to_point_latency,                            1.38,1.69,                            1.86
kafka,point_to_point_latency,                            2.90,3.73,                            4.05
rest,broadcast_throughput,                            2.88,3.42,                            3.59
grpc,broadcast_throughput,                            1.57,1.94,                            2.04
mqtt,broadcast_throughput,                            0.86,1.22,                            1.36
kafka,broadcast_throughput,                            69.84,17.63,                            801.49
rest,concurrent_messaging,                            10.32,15.75,                            23.30
grpc,concurrent_messaging,                            0.91,2.08,                            3.78
mqtt,concurrent_messaging,                            0.14,0.32,                            0.42
kafka,concurrent_messaging,                            12.50,67.40,                            194.68
rest,scalability_stress,                            20.64,26.99,                            40.47
grpc,scalability_stress,                            3.53,4.21,                            4.66
mqtt,scalability_stress,                            0.06,0.07,                            0.11
kafka,scalability_stress,                            13.26,11.29,                            52.30
