Protocol,Scenario,CPU_percent,Memory_mb
rest,point_to_point_latency,                            17.3,61.5
grpc,point_to_point_latency,                            12.9,89.2
mqtt,point_to_point_latency,                            3.8,107.2
kafka,point_to_point_latency,                            17.8,328.8
rest,broadcast_throughput,                            12.3,62.7
grpc,broadcast_throughput,                            9.9,89.9
mqtt,broadcast_throughput,                            5.0,107.9
kafka,broadcast_throughput,                            31.7,335.5
rest,concurrent_messaging,                            74.2,66.1
grpc,concurrent_messaging,                            39.8,90.9
mqtt,concurrent_messaging,                            13.0,109.0
kafka,concurrent_messaging,                            49.8,320.7
rest,scalability_stress,                            116.9,74.0
grpc,scalability_stress,                            170.2,100.5
mqtt,scalability_stress,                            72.1,204.3
kafka,scalability_stress,                            100.9,319.4
